target,split,logloss,method,tau,power,max_days,shrink
Q1,late7,0.7610031474941115,exp,10.0,1.0,,0.07
Q1,interleaved_offset1,0.6701342616590009,exp,10.0,1.0,,0.12
Q1,interleaved_offset2,0.6539807635497528,exp,10.0,1.0,,0.12
Q1,late7,0.7533250091017191,exp,10.0,1.0,,0.12
Q1,interleaved_offset1,0.7392625122783909,exp,14.0,1.0,14.0,0.0
Q1,interleaved_offset2,0.7128820004972017,exp,14.0,1.0,14.0,0.0
Q1,late7,1.382819027134996,exp,14.0,1.0,14.0,0.0
Q1,interleaved_offset1,0.6960725811982177,exp,14.0,1.0,14.0,0.03
Q1,interleaved_offset2,0.6712639080008115,exp,14.0,1.0,14.0,0.03
Q1,late7,0.9507449348067287,exp,14.0,1.0,14.0,0.03
Q1,interleaved_offset1,0.6890454547239063,exp,14.0,1.0,14.0,0.07
Q1,interleaved_offset2,0.6639219294203742,exp,14.0,1.0,14.0,0.07
Q1,late7,0.8943696788796228,exp,14.0,1.0,14.0,0.07
Q1,interleaved_offset1,0.684562341373307,exp,14.0,1.0,14.0,0.12
Q1,interleaved_offset2,0.6588112142014632,exp,14.0,1.0,14.0,0.12
Q1,late7,0.8573173249492952,exp,14.0,1.0,14.0,0.12
Q1,interleaved_offset1,0.6729444143851507,exp,14.0,1.0,21.0,0.0
Q1,interleaved_offset2,0.7137512685703891,exp,14.0,1.0,21.0,0.0
Q1,late7,0.931008121132237,exp,14.0,1.0,21.0,0.0
Q1,interleaved_offset1,0.6726826442208785,exp,14.0,1.0,21.0,0.03
Q1,interleaved_offset2,0.672569815812226,exp,14.0,1.0,21.0,0.03
Q1,late7,0.8007834618337001,exp,14.0,1.0,21.0,0.03
Q1,interleaved_offset1,0.6724560792647433,exp,14.0,1.0,21.0,0.07
Q1,interleaved_offset2,0.665737566882983,exp,14.0,1.0,21.0,0.07
Q1,late7,0.7811287020055003,exp,14.0,1.0,21.0,0.07
Q1,interleaved_offset1,0.6723566120814491,exp,14.0,1.0,21.0,0.12
Q1,interleaved_offset2,0.6611605883768106,exp,14.0,1.0,21.0,0.12
Q1,late7,0.767746982715886,exp,14.0,1.0,21.0,0.12
Q1,interleaved_offset1,0.6738866615674265,exp,14.0,1.0,35.0,0.0
Q1,interleaved_offset2,0.7058288615589783,exp,14.0,1.0,35.0,0.0
Q1,late7,0.9328168601535901,exp,14.0,1.0,35.0,0.0
Q1,interleaved_offset1,0.6739581384743522,exp,14.0,1.0,35.0,0.03
Q1,interleaved_offset2,0.6652349903811053,exp,14.0,1.0,35.0,0.03
Q1,late7,0.8026044522099107,exp,14.0,1.0,35.0,0.03
Q1,interleaved_offset1,0.6741184075851249,exp,14.0,1.0,35.0,0.07
Q1,interleaved_offset2,0.6591364200320977,exp,14.0,1.0,35.0,0.07
Q1,late7,0.7829609845902203,exp,14.0,1.0,35.0,0.07
Q1,interleaved_offset1,0.6744205596428342,exp,14.0,1.0,35.0,0.12
Q1,interleaved_offset2,0.6554032596910683,exp,14.0,1.0,35.0,0.12
Q1,late7,0.7695848967941512,exp,14.0,1.0,35.0,0.12
Q1,interleaved_offset1,0.6731883531002877,exp,14.0,1.0,56.0,0.0
Q1,interleaved_offset2,0.6583400560322991,exp,14.0,1.0,56.0,0.0
Q1,late7,0.7602859982238502,exp,14.0,1.0,56.0,0.0
Q1,interleaved_offset1,0.6733944998614572,exp,14.0,1.0,56.0,0.03
Q1,interleaved_offset2,0.6563408586798671,exp,14.0,1.0,56.0,0.03
Q1,late7,0.7564671285906676,exp,14.0,1.0,56.0,0.03
Q1,interleaved_offset1,0.6737196558389876,exp,14.0,1.0,56.0,0.07
Q1,interleaved_offset2,0.6544159777989028,exp,14.0,1.0,56.0,0.07
Q1,late7,0.7519825117166322,exp,14.0,1.0,56.0,0.07
Q1,interleaved_offset1,0.6742056654828755,exp,14.0,1.0,56.0,0.12
Q1,interleaved_offset2,0.6527210659913923,exp,14.0,1.0,56.0,0.12
Q1,late7,0.7471049398533036,exp,14.0,1.0,56.0,0.12
Q1,interleaved_offset1,0.6730265440869575,exp,14.0,1.0,,0.0
Q1,interleaved_offset2,0.6554116197912634,exp,14.0,1.0,,0.0
Q1,late7,0.7544642134765115,exp,14.0,1.0,,0.0
Q1,interleaved_offset1,0.6732410980725977,exp,14.0,1.0,,0.03
Q1,interleaved_offset2,0.6540668307566492,exp,14.0,1.0,,0.03
Q1,late7,0.7512355168530122,exp,14.0,1.0,,0.03
Q1,interleaved_offset1,0.6735771333810051,exp,14.0,1.0,,0.07
Q1,interleaved_offset2,0.6526806881688393,exp,14.0,1.0,,0.07
Q1,late7,0.7473752864862793,exp,14.0,1.0,,0.07
Q1,interleaved_offset1,0.674076213216523,exp,14.0,1.0,,0.12
Q1,interleaved_offset2,0.6514027476000077,exp,14.0,1.0,,0.12
Q1,late7,0.7431085935323377,exp,14.0,1.0,,0.12
Q1,interleaved_offset1,0.742775798854597,exp,21.0,1.0,14.0,0.0
Q1,interleaved_offset2,0.7124647058080527,exp,21.0,1.0,14.0,0.0
Q1,late7,1.387201223026271,exp,21.0,1.0,14.0,0.0
Q1,interleaved_offset1,0.6997440006935944,exp,21.0,1.0,14.0,0.03
Q1,interleaved_offset2,0.6710071784144228,exp,21.0,1.0,14.0,0.03
Q1,late7,0.9550836216873335,exp,21.0,1.0,14.0,0.03
Q1,interleaved_offset1,0.6928570815909567,exp,21.0,1.0,14.0,0.07
Q1,interleaved_offset2,0.6638523225689087,exp,21.0,1.0,14.0,0.07
Q1,late7,0.8986367725310062,exp,21.0,1.0,14.0,0.07
Q1,interleaved_offset1,0.6884662079846098,exp,21.0,1.0,14.0,0.12
