target,submission_strategy,model_name,threshold,accuracy,f1,positive_rate,prior_gap,fold
Q3,blend_linear_svc_rule_0.75,linear_svc,0.25,0.7264957264957265,0.8260869565217391,0.9145299145299145,0.3349503349503349,last_quarter_by_subject
Q3,model_svc_rbf,svc_rbf,0.4,0.7094017094017094,0.8172043010752688,0.9316239316239316,0.352044352044352,last_quarter_by_subject
Q3,blend_svc_rbf_rule_0.25,svc_rbf,0.1,0.7094017094017094,0.8191489361702128,0.9487179487179487,0.36913836913836906,last_quarter_by_subject
Q3,blend_svc_rbf_rule_0.5,svc_rbf,0.2,0.7094017094017094,0.8191489361702128,0.9487179487179487,0.36913836913836906,last_quarter_by_subject
Q3,blend_svc_rbf_rule_0.75,svc_rbf,0.3,0.7094017094017094,0.8191489361702128,0.9487179487179487,0.36913836913836906,last_quarter_by_subject
Q3,model_random_forest,random_forest,0.4,0.6837606837606838,0.8,0.9230769230769231,0.3434973434973435,last_quarter_by_subject
Q3,blend_random_forest_rule_0.25,random_forest,0.1,0.6837606837606838,0.802139037433155,0.9401709401709402,0.36059136059136054,last_quarter_by_subject
Q3,blend_random_forest_rule_0.5,random_forest,0.25,0.7264957264957265,0.8202247191011236,0.8632478632478633,0.28366828366828367,last_quarter_by_subject
Q3,blend_random_forest_rule_0.75,random_forest,0.35,0.7094017094017094,0.8152173913043478,0.9145299145299145,0.3349503349503349,last_quarter_by_subject
Q3,model_extra_trees,extra_trees,0.4,0.6837606837606838,0.8,0.9230769230769231,0.3434973434973435,last_quarter_by_subject
Q3,blend_extra_trees_rule_0.25,extra_trees,0.1,0.6837606837606838,0.8042328042328042,0.9572649572649573,0.3776853776853777,last_quarter_by_subject
Q3,blend_extra_trees_rule_0.5,extra_trees,0.25,0.7264957264957265,0.8202247191011236,0.8632478632478633,0.28366828366828367,last_quarter_by_subject
Q3,blend_extra_trees_rule_0.75,extra_trees,0.35,0.717948717948718,0.819672131147541,0.905982905982906,0.32640332640332637,last_quarter_by_subject
Q3,model_hist_gradient_boosting,hist_gradient_boosting,0.2,0.6752136752136753,0.8020833333333333,0.9829059829059829,0.40332640332640324,last_quarter_by_subject
Q3,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.15,0.717948717948718,0.8070175438596491,0.8034188034188035,0.22383922383922383,last_quarter_by_subject
Q3,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.3,0.717948717948718,0.8070175438596491,0.8034188034188035,0.22383922383922383,last_quarter_by_subject
Q3,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.15,0.6752136752136753,0.8020833333333333,0.9829059829059829,0.40332640332640324,last_quarter_by_subject
Q3,model_mlp,mlp,0.1,0.7094017094017094,0.8089887640449437,0.8632478632478633,0.28366828366828367,last_quarter_by_subject
Q3,blend_mlp_rule_0.25,mlp,0.05,0.7008547008547008,0.8108108108108107,0.9230769230769231,0.3434973434973435,last_quarter_by_subject
Q3,blend_mlp_rule_0.5,mlp,0.35,0.717948717948718,0.8135593220338982,0.8547008547008547,0.27512127512127504,last_quarter_by_subject
Q3,blend_mlp_rule_0.75,mlp,0.05,0.7008547008547008,0.8108108108108107,0.9230769230769231,0.3434973434973435,last_quarter_by_subject
Q3,model_lightgbm,lightgbm,0.3,0.6752136752136753,0.8,0.9658119658119658,0.3862323862323862,last_quarter_by_subject
Q3,blend_lightgbm_rule_0.25,lightgbm,0.15,0.7008547008547008,0.8,0.8376068376068376,0.258027258027258,last_quarter_by_subject
Q3,blend_lightgbm_rule_0.5,lightgbm,0.15,0.6752136752136753,0.8020833333333333,0.9829059829059829,0.40332640332640324,last_quarter_by_subject
Q3,blend_lightgbm_rule_0.75,lightgbm,0.25,0.6752136752136753,0.8020833333333333,0.9829059829059829,0.40332640332640324,last_quarter_by_subject
Q3,model_catboost,catboost,0.4,0.6752136752136753,0.8,0.9658119658119658,0.3862323862323862,last_quarter_by_subject
Q3,blend_catboost_rule_0.25,catboost,0.15,0.7264957264957265,0.8117647058823529,0.7948717948717948,0.2152922152922152,last_quarter_by_subject
Q3,blend_catboost_rule_0.5,catboost,0.25,0.7094017094017094,0.8172043010752688,0.9316239316239316,0.352044352044352,last_quarter_by_subject
Q3,blend_catboost_rule_0.75,catboost,0.4,0.717948717948718,0.819672131147541,0.905982905982906,0.32640332640332637,last_quarter_by_subject
Q3,meta_rule_extra_trees,extra_trees,0.3,0.6666666666666666,0.7979274611398964,0.9914529914529915,0.41187341187341187,last_quarter_by_subject
Q3,meta_rule_lightgbm,lightgbm,0.25,0.6666666666666666,0.7979274611398964,0.9914529914529915,0.41187341187341187,last_quarter_by_subject
Q3,meta_rule_catboost,catboost,0.3,0.6666666666666666,0.7979274611398964,0.9914529914529915,0.41187341187341187,last_quarter_by_subject
Q3,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.2,0.6752136752136753,0.8020833333333333,0.9829059829059829,0.40332640332640324,last_quarter_by_subject
S1,rule_subject_strategy_tuned,rule,0.05,0.717948717948718,0.8047337278106508,0.7435897435897436,0.06791406791406795,last_quarter_by_subject
S1,model_logistic_regression,logistic_regression,0.05,0.6666666666666666,0.7796610169491526,0.811965811965812,0.1362901362901363,last_quarter_by_subject
S1,blend_logistic_regression_rule_0.25,logistic_regression,0.05,0.717948717948718,0.819672131147541,0.8632478632478633,0.18757218757218763,last_quarter_by_subject
S1,blend_logistic_regression_rule_0.5,logistic_regression,0.1,0.717948717948718,0.819672131147541,0.8632478632478633,0.18757218757218763,last_quarter_by_subject
S1,blend_logistic_regression_rule_0.75,logistic_regression,0.15,0.717948717948718,0.819672131147541,0.8632478632478633,0.18757218757218763,last_quarter_by_subject
S1,model_linear_svc,linear_svc,0.05,0.6923076923076923,0.8085106382978724,0.905982905982906,0.23030723030723033,last_quarter_by_subject
S1,blend_linear_svc_rule_0.25,linear_svc,0.05,0.717948717948718,0.8253968253968254,0.9145299145299145,0.23885423885423884,last_quarter_by_subject
