fold,target,submission_strategy,model_name,shrink_alpha,logloss
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.15,0.7075018911758743
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.25,0.7136420112715997
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.35,0.7219212265510088
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.5,0.7387482428249039
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.75,0.7815529324540561
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,1.0,0.8559688017046677
last_quarter_by_subject,Q1,model_mlp,mlp,0.0,0.7021005506647676
last_quarter_by_subject,Q1,model_mlp,mlp,0.15,0.7148634189788234
last_quarter_by_subject,Q1,model_mlp,mlp,0.25,0.7321190296761403
last_quarter_by_subject,Q1,model_mlp,mlp,0.35,0.7572701418078525
last_quarter_by_subject,Q1,model_mlp,mlp,0.5,0.8131618106347605
last_quarter_by_subject,Q1,model_mlp,mlp,0.75,0.9860461658374
last_quarter_by_subject,Q1,model_mlp,mlp,1.0,1.797743894893322
last_quarter_by_subject,Q1,blend_mlp_rule_0.25,mlp,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_mlp_rule_0.25,mlp,0.15,0.7279428417320709
last_quarter_by_subject,Q1,blend_mlp_rule_0.25,mlp,0.25,0.7542940844867918
last_quarter_by_subject,Q1,blend_mlp_rule_0.25,mlp,0.35,0.7889253562937488
last_quarter_by_subject,Q1,blend_mlp_rule_0.25,mlp,0.5,0.859932509526534
last_quarter_by_subject,Q1,blend_mlp_rule_0.25,mlp,0.75,1.0610056055338084
last_quarter_by_subject,Q1,blend_mlp_rule_0.25,mlp,1.0,1.942880768439456
last_quarter_by_subject,Q1,blend_mlp_rule_0.5,mlp,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_mlp_rule_0.5,mlp,0.15,0.7215947489170014
last_quarter_by_subject,Q1,blend_mlp_rule_0.5,mlp,0.25,0.7412455339631462
last_quarter_by_subject,Q1,blend_mlp_rule_0.5,mlp,0.35,0.7669182082344881
last_quarter_by_subject,Q1,blend_mlp_rule_0.5,mlp,0.5,0.8192985795375693
last_quarter_by_subject,Q1,blend_mlp_rule_0.5,mlp,0.75,0.9672257763607831
last_quarter_by_subject,Q1,blend_mlp_rule_0.5,mlp,1.0,1.6220091363636977
last_quarter_by_subject,Q1,blend_mlp_rule_0.75,mlp,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_mlp_rule_0.75,mlp,0.15,0.7172287933841615
last_quarter_by_subject,Q1,blend_mlp_rule_0.75,mlp,0.25,0.7338067740000151
last_quarter_by_subject,Q1,blend_mlp_rule_0.75,mlp,0.35,0.7561786944560436
last_quarter_by_subject,Q1,blend_mlp_rule_0.75,mlp,0.5,0.8028336134961918
last_quarter_by_subject,Q1,blend_mlp_rule_0.75,mlp,0.75,0.9358765163273522
last_quarter_by_subject,Q1,blend_mlp_rule_0.75,mlp,1.0,1.5038711117591952
last_quarter_by_subject,Q1,model_lightgbm,lightgbm,0.0,0.7021005506647676
last_quarter_by_subject,Q1,model_lightgbm,lightgbm,0.15,0.7011471142775533
last_quarter_by_subject,Q1,model_lightgbm,lightgbm,0.25,0.7015144343978793
last_quarter_by_subject,Q1,model_lightgbm,lightgbm,0.35,0.7027052628800875
last_quarter_by_subject,Q1,model_lightgbm,lightgbm,0.5,0.7061036397794098
last_quarter_by_subject,Q1,model_lightgbm,lightgbm,0.75,0.7164889278744285
last_quarter_by_subject,Q1,model_lightgbm,lightgbm,1.0,0.73394769754932
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.25,lightgbm,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.25,lightgbm,0.15,0.7254116603908688
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.25,lightgbm,0.25,0.7490955774457552
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.25,lightgbm,0.35,0.7799647017848989
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.25,lightgbm,0.5,0.8420084627003519
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.25,lightgbm,0.75,1.0045489978032682
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.25,lightgbm,1.0,1.3225485747884416
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.5,lightgbm,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.5,lightgbm,0.15,0.7159469140450251
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.5,lightgbm,0.25,0.7292810710300748
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.5,lightgbm,0.35,0.7460949851057009
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.5,lightgbm,0.5,0.7784824010232876
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.5,lightgbm,0.75,0.8559261025223024
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.5,lightgbm,1.0,0.9780653947947326
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.75,lightgbm,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.75,lightgbm,0.15,0.7078692121185002
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.75,lightgbm,0.25,0.7134866600263948
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.75,lightgbm,0.35,0.720576465161807
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.75,lightgbm,0.5,0.7341514591474942
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.75,lightgbm,0.75,0.7657861030016007
last_quarter_by_subject,Q1,blend_lightgbm_rule_0.75,lightgbm,1.0,0.8123043478917075
last_quarter_by_subject,Q1,model_catboost,catboost,0.0,0.7021005506647676
last_quarter_by_subject,Q1,model_catboost,catboost,0.15,0.6973921036294208
last_quarter_by_subject,Q1,model_catboost,catboost,0.25,0.6946454895649691
last_quarter_by_subject,Q1,model_catboost,catboost,0.35,0.6922101162866082
last_quarter_by_subject,Q1,model_catboost,catboost,0.5,0.6891395335312671
last_quarter_by_subject,Q1,model_catboost,catboost,0.75,0.6855891586747485
last_quarter_by_subject,Q1,model_catboost,catboost,1.0,0.6840614988761431
last_quarter_by_subject,Q1,blend_catboost_rule_0.25,catboost,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_catboost_rule_0.25,catboost,0.15,0.724367721586628
last_quarter_by_subject,Q1,blend_catboost_rule_0.25,catboost,0.25,0.7470462378386906
last_quarter_by_subject,Q1,blend_catboost_rule_0.25,catboost,0.35,0.7765857554639214
last_quarter_by_subject,Q1,blend_catboost_rule_0.25,catboost,0.5,0.8357628354702011
last_quarter_by_subject,Q1,blend_catboost_rule_0.25,catboost,0.75,0.9887761199362545
last_quarter_by_subject,Q1,blend_catboost_rule_0.25,catboost,1.0,1.2722810063696266
last_quarter_by_subject,Q1,blend_catboost_rule_0.5,catboost,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_catboost_rule_0.5,catboost,0.15,0.713934933270464
last_quarter_by_subject,Q1,blend_catboost_rule_0.5,catboost,0.25,0.725435444099995
last_quarter_by_subject,Q1,blend_catboost_rule_0.5,catboost,0.35,0.7399456442588108
last_quarter_by_subject,Q1,blend_catboost_rule_0.5,catboost,0.5,0.7677572170066376
last_quarter_by_subject,Q1,blend_catboost_rule_0.5,catboost,0.75,0.832851770600125
last_quarter_by_subject,Q1,blend_catboost_rule_0.5,catboost,1.0,0.9293314759030399
last_quarter_by_subject,Q1,blend_catboost_rule_0.75,catboost,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_catboost_rule_0.75,catboost,0.15,0.7049565959713905
last_quarter_by_subject,Q1,blend_catboost_rule_0.75,catboost,0.25,0.708051083198232
last_quarter_by_subject,Q1,blend_catboost_rule_0.75,catboost,0.35,0.7121077386126843
last_quarter_by_subject,Q1,blend_catboost_rule_0.75,catboost,0.5,0.7200416358051408
